# Type: scattered data
# Version: 4
# Description: Exported paths data from database:offshore5.dwd
# Format: fixed
# Field: wellid 1 15 non-numeric
# Field: md 16 25
# Field: "tvdss (z)" 26 35
# Field: x 36 45
# Field: y 46 55
# Field: linecol 50 53 non-numeric
# Field: symbol 54 57 non-numeric
# Field: commonid 59 62 non-numeric
# Projection: Transverse Mercator
# Units: meters
# Ellipsoid: Hayford International 1924
# Scale_Factor_at_Central_Meridian: 0.999600
# Central_Meridian: 45 30 15.000000 E
# Latitude_of_Origin: 15 30 10.000000 N
# False_Easting: 100000.000000
# False_Northing: 500000.000000
# End:
5-337-14R      5210.00   -4355.50  59218.90  116557.80 
5-337-14R      5220.00   -4365.50  59218.90  116557.80 
5-337-14R      5230.00   -4375.50  59218.80  116557.90 
5-337-14R      5240.00   -4385.50  59218.80  116557.90 
5-337-14R      5250.00   -4395.50  59218.80  116557.90 
5-337-14R      5260.00   -4405.50  59218.80  116557.90 
5-337-14R      5270.00   -4415.50  59218.80  116557.90 
5-337-14R      5280.00   -4425.50  59218.80  116557.90 
5-337-14R      5290.00   -4435.50  59218.80  116557.90 
5-337-14R      5300.00   -4445.50  59218.70  116557.80 
5-337-14R      5310.00   -4455.50  59218.70  116557.80 
5-337-14R      5320.00   -4465.50  59218.70  116557.70 
5-337-14R      5330.00   -4475.50  59218.60  116557.70 
5-337-14R      5340.00   -4485.50  59218.60  116557.60 
5-337-14R      5350.00   -4495.50  59218.60  116557.60 
5-337-14R      5360.00   -4505.50  59218.50  116557.50 
5-337-14R      5370.00   -4515.50  59218.50  116557.40 
5-337-14R      5380.00   -4525.50  59218.40  116557.30 
5-337-14R      5390.00   -4535.50  59218.30  116557.20 
5-337-14R      5400.00   -4545.50  59218.20  116557.00 
5-337-14R      5410.00   -4555.50  59218.10  116556.80 
5-337-14R      5420.00   -4565.50  59218.00  116556.70 
5-337-14R      5430.00   -4575.50  59217.90  116556.50 
5-337-14R      5440.00   -4585.50  59217.80  116556.30 
5-337-14R      5450.00   -4595.50  59217.70  116556.10 
5-337-14R      5460.00   -4605.50  59217.60  116555.90 
5-337-14R      5470.00   -4615.50  59217.60  116555.70 
5-337-14R      5480.00   -4625.50  59217.50  116555.50 
5-337-14R      5490.00   -4635.50  59217.40  116555.30 
5-337-14R      5500.00   -4645.50  59217.30  116555.10 
5-337-14R      5510.00   -4655.50  59217.20  116554.90 
5-337-14R      5520.00   -4665.50  59217.10  116554.60 
5-337-14R      5530.00   -4675.50  59217.00  116554.40 
5-337-14R      5540.00   -4685.50  59216.90  116554.10 
5-337-14R      5550.00   -4695.50  59216.80  116553.80 
5-337-14R      5560.00   -4705.50  59216.70  116553.50 
5-337-14R      5570.00   -4715.50  59216.60  116553.30 
5-337-14R      5580.00   -4725.50  59216.50  116553.00 
5-337-14R      5590.00   -4735.50  59216.40  116552.70 
5-337-14R      5600.00   -4745.50  59216.30  116552.40 
5-337-14R      5610.00   -4755.50  59216.20  116552.10 
5-337-14R      5620.00   -4765.40  59216.20  116551.80 
5-337-14R      5630.00   -4775.40  59216.10  116551.50 
5-337-14R      5640.00   -4785.40  59216.00  116551.20 
5-337-14R      5650.00   -4795.40  59215.90  116551.00 
5-337-14R      5660.00   -4805.40  59215.80  116550.70 
5-337-14R      5670.00   -4815.40  59215.70  116550.40 
5-337-14R      5680.00   -4825.40  59215.60  116550.20 
5-337-14R      5690.00   -4835.40  59215.60  116549.90 
5-337-14R      5700.00   -4845.40  59215.50  116549.60 
5-337-14R      5710.00   -4855.40  59215.40  116549.30 
5-337-14R      5720.00   -4865.40  59215.30  116549.10 
5-337-14R      5730.00   -4875.40  59215.30  116548.80 
5-337-14R      5740.00   -4885.40  59215.20  116548.50 
5-337-14R      5750.00   -4895.40  59215.10  116548.20 
5-337-14R      5760.00   -4905.40  59215.00  116548.00 
5-337-14R      5770.00   -4915.40  59214.90  116547.70 
5-337-14R      5780.00   -4925.40  59214.90  116547.40 
5-337-14R      5790.00   -4935.40  59214.80  116547.10 
5-337-14R      5800.00   -4945.40  59214.70  116546.90 
5-337-14R      5810.00   -4955.40  59214.60  116546.60 
5-337-14R      5820.00   -4965.40  59214.60  116546.30 
5-337-14R      5830.00   -4975.40  59214.50  116546.00 
5-337-14R      5840.00   -4985.40  59214.40  116545.80 
5-337-14R      5850.00   -4995.40  59214.40  116545.50 
5-337-14R      5860.00   -5005.40  59214.30  116545.20 
5-337-14R      5870.00   -5015.40  59214.20  116544.90 
5-337-14R      5880.00   -5025.40  59214.10  116544.70 
5-337-14R      5890.00   -5035.40  59214.10  116544.40 
5-337-14R      5900.00   -5045.40  59214.00  116544.10 
5-337-14R      5910.00   -5055.40  59213.90  116543.90 
5-337-14R      5920.00   -5065.30  59213.90  116543.70 
5-337-14R      5930.00   -5075.30  59213.80  116543.40 
5-337-14R      5940.00   -5085.40  59213.70  116543.20 
5-337-14R      5950.00   -5095.30  59213.60  116543.00 
5-337-14R      5960.00   -5105.40  59213.60  116542.80 
5-337-14R      5970.00   -5115.40  59213.50  116542.60 
5-337-14R      5980.00   -5125.40  59213.40  116542.40 
5-337-14R      5990.00   -5135.30  59213.30  116542.20 
5-337-14R      6000.00   -5145.30  59213.30  116542.10 
5-337-14R      6010.00   -5155.30  59213.20  116541.90 
5-337-14R      6020.00   -5165.30  59213.10  116541.80 
5-337-14R      6030.00   -5175.30  59213.00  116541.60 
5-337-14R      6040.00   -5185.30  59212.90  116541.50 
5-337-14R      6050.00   -5195.30  59212.80  116541.30 
5-337-14R      6060.00   -5205.30  59212.70  116541.10 
5-337-14R      6070.00   -5215.30  59212.60  116541.00 
5-337-14R      6080.00   -5225.30  59212.50  116540.80 
5-337-14R      6090.00   -5235.30  59212.40  116540.60 
5-337-14R      6100.00   -5245.30  59212.20  116540.50 
5-337-14R      6110.00   -5255.30  59212.10  116540.30 
5-337-14R      6120.00   -5265.30  59212.00  116540.10 
5-337-14R      6130.00   -5275.30  59211.90  116540.00 
5-337-14R      6140.00   -5285.30  59211.70  116539.80 
5-337-14R      6150.00   -5295.30  59211.60  116539.70 
5-337-14R      6160.00   -5305.30  59211.50  116539.50 
5-337-14R      6170.00   -5315.30  59211.30  116539.30 
5-337-14R      6180.00   -5325.30  59211.20  116539.20 
5-337-14R      6190.00   -5335.30  59211.10  116539.00 
5-337-14R      6200.00   -5345.30  59210.90  116538.90 
5-337-14R      6210.00   -5355.30  59210.80  116538.80 
5-337-14R      6220.00   -5365.30  59210.70  116538.60 
5-337-14R      6230.00   -5375.30  59210.60  116538.50 
5-337-14R      6240.00   -5385.30  59210.50  116538.40 
